,Name ,,Sym. ,
z,Hydrogen,x,H,y
z,Helium,x,He,y
z,Lithium,x,Li,y
z,Beryllium,x,Be,y
z,Boron,x,B,y
z,Carbon,x,C,y
z,Nitrogen,x,N,y
z,Oxygen,x,O,y
z,Fluorine,x,F,y
z,Neon,x,Ne,y
z,Sodium,x,Na,y
z,Magnesium,x,Mg,y
z,Aluminum,x,Al,y
z,Silicon,x,Si,y
z,Phosphorus,x,P,y
z,Sulfur,x,S,y
z,Chlorine,x,Cl,y
z,Argon,x,Ar,y
z,Potassium,x,K,y
z,Calcium,x,Ca,y
z,Scandium,x,Sc,y
z,Titanium,x,Ti,y
z,Vanadium,x,V,y
z,Chromium,x,Cr,y
z,Manganese,x,Mn,y
z,Iron,x,Fe,y
z,Cobalt,x,Co,y
z,Nickel,x,Ni,y
z,Copper,x,Cu,y
z,Zinc,x,Zn,y
z,Gallium,x,Ga,y
z,Germanium,x,Ge,y
z,Arsenic,x,As,y
z,Selenium,x,Se,y
z,Bromine,x,Br,y
z,Krypton,x,Kr,y
z,Rubidium,x,Rb,y
z,Strontium,x,Sr,y
z,Yttrium,x,Y,y
z,Zirconium,x,Zr,y
z,Niobium,x,Nb,y
z,Molybdenum,x,Mo,y
z,Technetium,x,Tc,y
z,Ruthenium,x,Ru,y
z,Rhodium,x,Rh,y
z,Palladium,x,Pd,y
z,Silver,x,Ag,y
z,Cadmium,x,Cd,y
z,Indium,x,In,y
z,Tin,x,Sn,y
z,Antimony,x,Sb,y
z,Tellurium,x,Te,y
z,Iodine,x,I,y
z,Xenon,x,Xe,y
z,Cesium,x,Cs,y
z,Barium,x,Ba,y
z,Lanthanum,x,La,y
z,Cerium,x,Ce,y
z,Praseodymium,x,Pr,y
z,Neodymium,x,Nd,y
z,Promethium,x,Pm,y
z,Samarium,x,Sm,y
z,Europium,x,Eu,y
z,Gadolinium,x,Gd,y
z,Terbium,x,Tb,y
z,Dysprosium,x,Dy,y
z,Holmium,x,Ho,y
z,Erbium,x,Er,y
z,Thulium,x,Tm,y
z,Ytterbium,x,Yb,y
z,Lutetium,x,Lu,y
z,Hafnium,x,Hf,y
z,Tantalum,x,Ta,y
z,Tungsten,x,W,y
z,Rhenium,x,Re,y
z,Osmium,x,Os,y
z,Iridium,x,Ir,y
z,Platinum,x,Pt,y
z,Gold,x,Au,y
z,Mercury,x,Hg,y
z,Thallium,x,Tl,y
z,Lead,x,Pb,y
z,Bismuth,x,Bi,y
z,Polonium,x,Po,y
z,Astatine,x,At,y
z,Radon,x,Rn,y
z,Francium,x,Fr,y
z,Radium,x,Ra,y
z,Actinium,x,Ac,y
z,Thorium,x,Th,y
z,Protactinium,x,Pa,y
z,Uranium,x,U,y
z,Neptunium,x,Np,y
z,Plutonium,x,Pu,y
z,Americium,x,Am,y
z,Curium,x,Cm,y
z,Berkelium,x,Bk,y
z,Californium,x,Cf,y
z,Einsteinium,x,Es,y
z,Fermium,x,Fm,y
z,Mendelevium,x,Md,y
z,Nobelium,x,No,y
z,Lawrencium,x,Lr,y
z,Rutherfordium,x,Rf,y
z,Dubnium,x,Db,y
z,Seaborgium,x,Sg,y
z,Bohrium,x,Bh,y
z,Hassium,x,Hs,y
z,Meitnerium,x,Mt,y
